# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000      178.297   401981.062
       0.110        0.100      178.297   401981.062
       0.216        0.100      178.297   401981.062
       0.326        0.100      178.297   401981.062
       0.434        0.400      178.297   401981.062
       0.537        0.100      178.297   401981.062
       0.642        0.100      178.297   401981.062
       0.746        0.100      178.297   401981.062
       0.850        0.200      178.297   401981.062
       0.958        0.100      178.297   401981.062
       1.065        0.100      178.297   401981.062
       1.175        0.100      178.297   401981.062
       1.285        0.000      178.297   401981.062
       1.393        0.200      178.297   401981.062
       1.504        0.100      178.297   401981.062
       1.608        0.100      178.297   401981.062
       1.717        0.100      178.297   401981.062
       1.827        0.100      178.297   401981.062
       1.937        0.200      178.297   401981.062
       2.043        0.200      178.297   401981.062
       2.150        0.100      178.297   401981.062
       2.254        0.100      178.297   401981.062
       2.360        0.100      178.297   401981.062
       2.467        0.100      178.297   401981.062
       2.577        0.100      178.297   401981.062
       2.687        0.100      178.297   401981.062
       2.791        0.100      178.297   401981.062
       2.902        0.200      178.297   401981.062
       3.011        0.100      178.297   401981.062
       3.118        0.100      178.297   401981.062
       3.225        0.100      178.297   401981.062
       3.335        0.000      178.297   401981.062
       3.446        0.100      178.297   401981.062
       3.554        0.100      178.297   401981.062
       3.664        0.100      178.297   401981.062
       3.767        0.100      178.297   401981.062
       3.874        0.200      178.297   401981.062
       3.985        0.100      178.297   401981.062
       4.092        0.100      178.297   401981.062
       4.198        0.100      178.297   401981.062
       4.309        0.100      178.297   401981.062
       4.419        0.100      178.297   401981.062
       4.522        0.100      178.297   401981.062
       4.632        0.100      178.297   401981.062
       4.743        0.200      178.297   401981.062
       4.851        0.100      178.297   401981.062
       4.953       37.200      198.250   402013.781
       5.063      198.600      222.250   402026.781
       5.173      210.600      229.406   402026.781
       5.281      110.000      232.188   402026.781
       5.385       62.900      244.750   402032.922
       5.489      189.300      256.000   402039.062
       5.591       49.400      264.812   402047.250
       5.693       63.300      281.797   402055.438
       5.794       51.900      299.078   402073.859
       5.895        1.400      299.109   402073.859
       6.006      295.000      301.938   402075.906
       6.116      336.100      305.469   402075.906
       6.219      289.700      309.500   402075.906
       6.324      291.800      312.078   402075.906
       6.433      298.400      312.875   402075.906
       6.534      239.400      313.328   402075.906
       6.635      287.400      314.156   402075.906
       6.740      207.600      314.359   402075.906
       6.851      222.200      316.344   402076.906
       6.961      192.100      316.562   402076.906
       7.065      191.500      317.484   402079.906
       7.170      182.000      312.516   402074.906
       7.276      221.600      314.656   402076.906
       7.384      189.000      319.812   402080.906
       7.494      179.600      315.297   402076.906
       7.604      191.200      314.484   402075.906
       7.714      185.800      315.453   402075.906
       7.821      217.400      314.984   402074.906
       7.930      185.400      315.109   402074.906
       8.034      187.700      315.172   402074.906
       8.140      169.000      316.922   402075.906
       8.247      186.900      316.203   402077.906
       8.347      183.800      316.547   402077.906
       8.454      212.800      317.312   402077.906
       8.556      172.400      319.359   402079.906
       8.666      179.100      317.766   402076.906
       8.775      174.000      317.859   402076.906
       8.883      177.400      316.953   402075.906
       8.993      165.000      317.406   402076.906
       9.100      188.300      315.547   402074.906
       9.210      168.400      316.562   402074.906
       9.321      161.900      315.656   402073.906
       9.426      159.200      315.734   402073.906
       9.529      160.800      315.781   402073.906
       9.637      160.300      315.828   402073.906
       9.747      196.700      316.922   402075.906
       9.857      150.800      316.969   402075.906
       9.965      136.800      317.672   402075.906
      10.072      124.800      318.062   402075.906
      10.174       94.600      318.094   402075.906
      10.275      181.300      318.125   402075.906
      10.378      150.100      318.188   402075.906
      10.488       97.300      318.234   402075.906
      10.591       73.500      318.250   402075.906
      10.692       53.000      318.250   402075.906
      10.795      144.300      321.266   402078.906
      10.897       95.700      321.266   402078.906
      11.005      135.500      320.172   402078.906
      11.107      141.000      318.219   402076.906
      11.223      154.900      319.422   402076.906
      11.330      142.600      321.531   402079.906
      11.439      150.200      322.516   402079.906
      11.551      186.800      318.578   402075.906
      11.654       92.800      316.609   402073.906
      11.760       76.300      316.625   402073.906
      11.870      103.700      315.688   402072.906
      11.980      179.700      320.375   402079.906
      12.089      152.500      319.797   402077.906
      12.200      148.800      316.875   402074.906
      12.305      141.400      315.953   402073.906
      12.415       54.700      316.172   402074.906
      12.519       96.800      315.250   402076.906
      12.626       43.400      316.438   402076.906
      12.730      119.800      314.094   402073.906
      12.835      141.900      315.109   402071.906
      12.944      138.400      315.172   402071.906
      13.055      141.900      315.750   402076.906
      13.165      151.500      316.938   402077.906
      13.274       60.100      313.969   402074.906
      13.382       62.300      314.625   402074.906
      13.490       36.500      314.625   402074.906
      13.592       97.800      314.672   402074.906
      13.702      175.100      314.391   402074.906
      13.812      137.200      316.594   402076.906
      13.921      153.800      317.828   402076.906
      14.028      135.000      319.031   402077.906
      14.144      121.000      318.016   402074.906
      14.253       66.600      318.016   402074.906
      14.355       38.500      318.016   402074.906
      14.457      119.000      317.656   402073.906
      14.568      121.300      318.234   402079.906
      14.678      131.300      316.609   402076.906
      14.785      158.400      319.062   402080.906
      14.894      133.100      318.969   402078.906
      15.005      126.500      323.703   402084.906
      15.109       45.100      323.750   402084.906
      15.217       36.300      323.766   402084.906
      15.321      102.000      323.781   402084.906
      15.429      130.100      326.219   402084.906
      15.540      126.700      334.828   402090.906
      15.650       27.900      334.828   402090.906
      15.758       34.100      334.828   402090.906
      15.861       65.700      334.828   402090.906
      15.971       88.000      356.625   402112.906
      16.083      126.500      356.641   402112.906
      16.193      121.100      353.656   402110.906
      16.298      130.300      365.641   402121.906
      16.400       25.700      365.641   402121.906
      16.502       30.900      365.641   402121.906
      16.608       34.400      365.641   402121.906
      16.715       75.500      365.641   402121.906
      16.825       76.200      365.641   402121.906
      16.929      114.700      354.875   402110.906
      17.039      130.600      354.891   402110.906
      17.143       58.200      328.891   402084.906
      17.248       28.500      328.891   402084.906
      17.357       64.800      328.891   402084.906
      17.463       41.400      328.906   402084.906
      17.565       42.000      328.906   402084.906
      17.669       79.900      328.906   402084.906
      17.777       91.100      328.906   402084.906
      17.882       43.600      328.906   402084.906
      17.992       75.200      322.922   402078.906
      18.093       85.800      321.922   402077.906
      18.194       75.000      321.922   402077.906
      18.304       37.000      321.922   402077.906
      18.414       82.900      321.922   402077.906
      18.517       68.300      321.922   402077.906
      18.624       92.000      321.922   402077.906
      18.735       81.300      321.922   402077.906
      18.841       78.000      321.922   402077.906
      18.952       84.600      321.922   402077.906
      19.060       80.000      321.922   402077.906
      19.164       95.000      321.938   402077.906
      19.264       63.700      321.938   402077.906
      19.371       94.100      321.938   402077.906
      19.475       62.700      321.938   402077.906
      19.585      118.500      321.938   402077.906
      19.692       49.200      321.953   402077.906
      19.795       66.800      321.953   402077.906
      19.895       72.100      321.953   402077.906
      20.006       61.400      321.953   402077.906
      20.116       86.100      321.953   402077.906
      20.226       81.600      321.953   402077.906
      20.337       89.000      321.953   402077.906
      20.439       60.500      321.953   402077.906
      20.540      100.000      321.953   402077.906
      20.649       57.200      321.953   402077.906
      20.759       65.300      322.125   402077.906
      20.867       64.600      322.125   402077.906
      20.969      114.000      322.125   402077.906
      21.079       41.500      322.125   402077.906
      21.183       84.700      322.125   402077.906
      21.283       99.300      322.125   402077.906
      21.393       88.600      322.141   402077.906
      21.495       33.200      322.141   402077.906
      21.597       98.900      322.141   402077.906
      21.702       87.000      322.141   402077.906
      21.807       77.600      322.141   402077.906
      21.911       78.100      322.141   402077.906
      22.014       74.500      322.141   402077.906
      22.125       60.900      322.141   402077.906
      22.235       70.100      322.141   402077.906
      22.342      102.500      285.688   402032.234
      22.445       55.500      285.688   402032.234
      22.555       77.500      285.688   402032.234
      22.665       72.600      293.578   402052.906
      22.768       89.000      293.578   402052.906
      22.877       67.000      293.578   402052.906
      22.979       85.400      296.391   402054.906
      23.084       80.600      296.391   402054.906
      23.193       72.500      296.391   402054.906
      23.300      105.500      300.078   402056.906
      23.410       54.700      300.094   402056.906
      23.520       82.200      300.094   402056.906
      23.630       80.300      300.094   402056.906
      23.733       98.000      300.094   402056.906
      23.843       62.500      300.094   402056.906
      23.950       96.400      300.094   402056.906
      24.059       69.600      302.719   402059.906
      24.169       92.300      302.719   402059.906
      24.273       45.000      302.719   402059.906
      24.376       84.100      302.734   402059.906
      24.487       52.800      302.734   402059.906
      24.591       95.200      302.734   402059.906
      24.701       89.900      302.734   402059.906
      24.805       71.700      302.734   402059.906
