# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000      179.781   401727.000
       0.110        0.000      179.781   401727.000
       0.220        0.100      179.781   401727.000
       0.331        0.100      179.781   401727.000
       0.440        0.100      179.781   401727.000
       0.548        0.100      179.781   401727.000
       0.659        0.100      179.781   401727.000
       0.769        0.200      179.781   401727.000
       0.876        0.100      179.781   401727.000
       0.979        0.100      179.781   401727.000
       1.087        0.100      179.781   401727.000
       1.196        0.100      179.781   401727.000
       1.302        0.100      179.781   401727.000
       1.404        0.100      179.781   401727.000
       1.512        0.100      179.781   401727.000
       1.613        0.100      179.781   401727.000
       1.722        0.100      179.781   401727.000
       1.832        0.100      179.781   401727.000
       1.938        0.100      179.781   401727.000
       2.045        0.100      179.781   401727.000
       2.148        0.100      179.781   401727.000
       2.255        0.100      179.781   401727.000
       2.358        0.100      179.781   401727.000
       2.467        0.100      179.781   401727.000
       2.569        0.100      179.781   401727.000
       2.672        0.100      179.781   401727.000
       2.783        0.300      179.781   401727.000
       2.893        0.100      179.781   401727.000
       2.998        0.200      179.781   401727.000
       3.109        0.100      179.781   401727.000
       3.218        0.100      179.781   401727.000
       3.325        0.200      179.781   401727.000
       3.430        0.100      179.781   401727.000
       3.538        0.100      179.781   401727.000
       3.644        0.200      179.781   401727.000
       3.750        0.100      179.781   401727.000
       3.860        0.100      179.781   401727.000
       3.967        0.200      179.781   401727.000
       4.072        0.100      179.781   401727.000
       4.180        0.100      179.781   401727.000
       4.282        0.100      179.781   401727.000
       4.384        0.100      179.781   401727.000
       4.495        0.100      179.781   401727.000
       4.605        0.100      179.781   401727.000
       4.715        0.100      179.781   401727.000
       4.820        0.300      179.781   401727.000
       4.925        0.100      179.781   401727.000
       5.035       41.600      202.344   401759.672
       5.145      232.500      212.656   401775.859
       5.252      165.000      220.719   401782.953
       5.361       42.900      221.609   401782.953
       5.464      204.200      228.938   401782.953
       5.574      121.800      231.047   401782.953
       5.684       20.300      231.203   401782.953
       5.788       42.000      233.484   401782.953
       5.889       11.900      233.547   401782.953
       5.999      293.100      247.578   401985.594
       6.107      296.100      251.078   402113.594
       6.217      371.400      256.734   402500.594
       6.319      345.100      259.969   402500.594
       6.427      362.200      261.281   402500.594
       6.528      389.500      263.672   402500.594
       6.639      360.400      268.312   402504.594
       6.749      374.900      291.625   402520.594
       6.850      362.300      278.422   402504.594
       6.960      263.000      277.062   402501.594
       7.067      299.100      285.375   402505.594
       7.168      256.500      294.094   402507.594
       7.272      260.700      297.234   402502.594
       7.373      256.000      304.750   402501.594
       7.478      255.500      314.938   402505.594
       7.580      250.700      319.203   402511.594
       7.691      249.700      314.516   402504.594
       7.795      253.900      314.531   402503.594
       7.904      282.400      318.609   402507.594
       8.014      309.800      324.969   402506.594
       8.125      262.100      325.781   402506.594
       8.234      253.700      322.938   402502.594
       8.338      258.000      323.125   402502.594
       8.443      247.100      324.609   402507.594
       8.550      253.500      329.875   402507.594
       8.653      252.200      326.641   402503.594
       8.763      241.200      325.906   402502.594
       8.873      231.500      330.094   402506.594
       8.977      243.800      332.250   402509.594
       9.084      256.400      324.625   402502.594
       9.194      261.900      332.766   402500.594
       9.302      241.900      336.812   402503.594
       9.404      238.900      335.875   402502.594
       9.506      216.200      337.906   402504.594
       9.609      238.300      343.453   402512.594
       9.719      235.000      333.969   402495.500
       9.829      229.800      334.594   402494.500
       9.931      230.700      342.141   402500.500
      10.036      220.800      358.422   402513.500
      10.146      229.300      343.109   402498.500
      10.251      232.900      345.078   402501.500
      10.358      218.200      349.406   402509.500
      10.462      238.100      357.109   402515.500
      10.571      236.100      360.047   402516.500
      10.679      230.700      363.016   402516.500
      10.784      227.100      345.031   402498.500
      10.891      211.400      348.578   402504.500
      10.993      225.200      350.469   402507.500
      11.097      233.900      352.234   402506.500
      11.199      228.500      368.984   402521.500
      11.307      219.100      371.203   402523.500
      11.414      230.000      371.297   402523.500
      11.522      223.000      413.438   402566.500
      11.632      237.200      414.312   402566.500
      11.742      229.300      414.359   402566.500
      11.844      233.100      414.359   402566.500
      11.953      228.400      410.359   402562.500
      12.063      224.800      410.359   402562.500
      12.169      243.800      344.516   402495.500
      12.279      221.300      344.703   402502.500
      12.384      213.600      340.688   402495.500
      12.489      217.900      347.266   402500.500
      12.599      232.600      344.672   402495.500
      12.709      223.400      343.734   402494.500
      12.813      227.400      340.797   402491.500
      12.917      214.100      341.016   402494.500
      13.026      213.000      351.703   402502.500
      13.134      214.200      354.484   402506.500
      13.242      253.400      363.109   402515.500
      13.343      221.800      344.594   402496.500
      13.450      220.800      344.406   402495.500
      13.557      203.200      344.781   402495.500
      13.664      202.800      344.812   402495.500
      13.764      224.500      346.141   402495.500
      13.874      210.300      346.203   402495.500
      13.980      193.700      346.281   402495.500
      14.091      190.500      346.312   402495.500
      14.198      195.000      343.328   402492.500
      14.301      197.600      348.125   402499.500
      14.403      212.300      345.047   402495.500
      14.513      204.300      345.688   402495.500
      14.615      192.600      345.766   402495.500
      14.726      200.300      345.828   402495.500
      14.836      190.300      345.906   402495.500
      14.937      180.600      345.953   402495.500
      15.043      191.500      358.078   402507.500
      15.146      189.800      345.859   402494.500
      15.253      178.300      342.953   402493.500
      15.358      193.700      341.078   402490.500
      15.468      183.600      343.703   402493.500
      15.573      177.100      346.766   402496.500
      15.681      174.500      345.812   402495.500
      15.788      171.700      346.438   402494.500
      15.889      172.500      345.484   402493.500
      15.995      167.200      345.594   402495.500
      16.105      160.000      340.609   402489.500
      16.214      173.600      338.672   402487.500
      16.324      175.700      338.922   402487.500
      16.434      173.000      345.125   402495.500
      16.544      159.400      345.859   402495.500
      16.647      159.400      359.812   402506.500
      16.757      167.700      359.344   402507.500
      16.868      170.300      348.375   402496.500
      16.972      167.900      347.438   402495.500
      17.077      164.900      347.500   402495.500
      17.190      158.700      347.578   402495.500
      17.292      113.300      348.125   402495.500
      17.402      101.300      348.109   402494.500
      17.512      155.600      348.188   402494.500
      17.623      163.000      348.250   402494.500
      17.733      124.300      350.156   402495.500
      17.839       54.300      350.156   402495.500
      17.949       54.000      350.156   402495.500
      18.054      153.900      348.281   402495.500
      18.163      125.400      348.672   402493.500
      18.272       44.800      348.672   402493.500
      18.378       57.800      348.672   402493.500
      18.485       74.400      348.688   402493.500
      18.595       84.000      348.719   402494.500
      18.704       46.500      348.719   402494.500
      18.806       59.500      348.719   402494.500
      18.913       89.600      348.719   402494.500
      19.021       89.600      348.719   402494.500
      19.130      108.400      348.719   402494.500
      19.232      106.700      348.719   402494.500
      19.334       99.700      348.156   402497.500
      19.444       48.400      348.156   402497.500
      19.552       85.000      348.172   402497.500
      19.655       96.200      348.172   402497.500
      19.765       99.600      348.172   402497.500
      19.875      110.800      348.172   402497.500
      19.986       64.700      348.188   402497.500
      20.096       69.900      348.188   402497.500
      20.198       90.500      348.188   402497.500
      20.302       90.400      348.188   402497.500
      20.412       93.600      348.188   402497.500
      20.522       89.600      348.188   402497.500
      20.630      109.800      348.188   402497.500
      20.730      108.300      348.188   402497.500
      20.835       87.900      348.188   402497.500
      20.945       75.400      348.188   402497.500
      21.055       91.700      348.188   402497.500
      21.165      109.800      348.188   402497.500
      21.274       90.200      348.188   402497.500
      21.375      105.500      348.266   402497.500
      21.485       91.900      348.266   402497.500
      21.594      101.400      348.266   402497.500
      21.704       93.300      348.266   402497.500
      21.809      112.200      348.266   402497.500
      21.913       79.100      348.266   402497.500
      22.015      108.900      348.781   402497.500
      22.125       84.400      348.781   402497.500
      22.233       74.700      348.781   402497.500
      22.338      111.200      348.781   402497.500
      22.449      106.200      348.781   402497.500
      22.556       75.600      348.781   402497.500
      22.667      120.600      348.781   402497.500
      22.767       83.400      348.781   402497.500
      22.870       80.300      348.781   402497.500
      22.975      110.100      348.781   402497.500
      23.079       99.300      314.688   402449.828
      23.192      109.400      314.688   402449.828
      23.299       75.200      333.953   402479.500
      23.407       61.200      334.375   402481.500
      23.513      102.300      335.250   402481.500
      23.619       94.700      335.250   402481.500
      23.722       94.800      335.250   402481.500
      23.830       94.000      335.250   402481.500
      23.933       79.600      336.531   402481.500
      24.043       85.600      336.531   402481.500
      24.152       92.200      336.562   402481.500
      24.257       89.200      336.562   402481.500
      24.363      109.800      336.562   402481.500
      24.466       82.900      336.562   402481.500
      24.576       93.000      336.562   402481.500
      24.680      100.100      336.562   402481.500
      24.784      141.800      336.562   402481.500
      24.894      102.100      336.578   402481.500
      25.004      102.100      336.578   402481.500
      25.108       88.700      336.578   402481.500
      25.210       97.400      336.578   402481.500
      25.314       66.900      336.578   402481.500
      25.422       83.600      336.578   402481.500
      25.523      107.300      336.578   402481.500
      25.633       81.600      337.438   402483.500
      25.738       91.600      337.438   402483.500
      25.840       86.600      337.438   402483.500
      25.947      109.500      337.438   402483.500
      26.057       94.300      337.438   402483.500
      26.159       90.500      337.438   402483.500
      26.268       85.900      337.438   402483.500
      26.369       99.500      337.438   402483.500
      26.475       96.800      337.438   402483.500
      26.586      105.300      316.031   402449.828
