# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000      140.203   399378.594
       0.108        0.100      140.203   399378.594
       0.212        0.000      140.203   399378.594
       0.314        0.000      140.203   399378.594
       0.425        0.000      140.203   399378.594
       0.531        0.000      140.203   399378.594
       0.640        0.000      140.203   399378.594
       0.749        0.000      140.203   399378.594
       0.860        0.000      140.203   399378.594
       0.961        0.000      140.203   399378.594
       1.064        0.000      140.203   399378.594
       1.170        0.100      140.203   399378.594
       1.273        0.000      140.203   399378.594
       1.384        0.000      140.203   399378.594
       1.495        0.000      140.203   399378.594
       1.596        0.000      140.203   399378.594
       1.696        0.000      140.203   399378.594
       1.807        0.000      140.203   399378.594
       1.915        0.000      140.203   399378.594
       2.021        0.000      140.203   399378.594
       2.122        0.100      140.203   399378.594
       2.231        0.000      140.203   399378.594
       2.340        0.000      140.203   399378.594
       2.451        0.000      140.203   399378.594
       2.557        0.000      140.203   399378.594
       2.665        0.000      140.203   399378.594
       2.773        0.000      140.203   399378.594
       2.876        0.000      140.203   399378.594
       2.981        0.000      140.203   399378.594
       3.092        0.100      140.203   399378.594
       3.198        0.000      140.203   399378.594
       3.306        0.000      140.203   399378.594
       3.409        0.000      140.203   399378.594
       3.515        0.000      140.203   399378.594
       3.617        0.000      140.203   399378.594
       3.727        0.000      140.203   399378.594
       3.838        0.000      140.203   399378.594
       3.942        0.000      140.203   399378.594
       4.052        0.000      140.203   399378.594
       4.157        0.200      140.203   399378.594
       4.266        0.000      140.203   399378.594
       4.371        0.000      140.203   399378.594
       4.481        0.000      140.203   399378.594
       4.583        0.000      140.203   399378.594
       4.690        0.000      140.203   399378.594
       4.794        0.000      140.203   399378.594
       4.903        0.000      140.203   399378.594
       5.009        0.100      140.219   399378.594
       5.114        3.100      143.156   399379.594
       5.222        4.200      144.203   399397.141
       5.323        2.200      144.344   399397.141
       5.431        2.800      144.375   399397.141
       5.531       51.000      174.297   399492.875
       5.642       49.600      190.781   399518.875
       5.752       54.800      201.672   399529.875
       5.859       38.500      202.891   399529.875
       5.969       84.400      204.453   399529.875
       6.077      128.800      207.516   399529.875
       6.179      143.800      209.734   399529.875
       6.280      156.100      213.047   399529.875
       6.391      129.000      216.516   399529.875
       6.498      125.600      220.062   399536.875
       6.607       87.300      221.672   399538.875
       6.708      146.600      222.547   399538.875
       6.815      120.300      223.688   399538.875
       6.924      105.300      224.562   399538.875
       7.034      149.400      225.703   399538.875
       7.144      121.600      227.234   399538.875
       7.250      127.700      228.938   399540.875
       7.357      123.100      231.656   399550.875
       7.467      130.000      232.672   399550.875
       7.574      101.200      233.938   399550.875
       7.683      120.100      235.125   399550.875
       7.786       89.500      235.938   399550.875
       7.891      127.400      236.719   399550.875
       7.998      117.000      238.031   399550.875
       8.107      123.200      239.562   399550.875
       8.210      114.700      242.703   399559.875
       8.315      129.900      243.500   399559.875
       8.425      102.800      244.688   399559.875
       8.534      146.900      245.828   399559.875
       8.644      118.500      246.906   399559.875
       8.752      119.200      247.984   399559.875
       8.859      133.100      249.344   399559.875
       8.962      122.600      250.531   399559.875
       9.072      110.800      251.891   399566.875
       9.182      141.800      252.484   399566.875
       9.291      126.200      253.516   399566.875
       9.398      117.200      254.375   399566.875
       9.500      119.000      255.172   399566.875
       9.602      119.300      256.062   399566.875
       9.710      128.900      257.375   399566.875
       9.815      127.300      258.656   399566.875
       9.925      116.400      259.844   399567.875
      10.034      115.600      259.938   399567.875
      10.144      117.300      260.109   399567.875
      10.250      128.200      260.188   399567.875
      10.357      131.600      260.422   399567.875
      10.465      105.000      260.516   399567.875
      10.576      125.500      261.047   399567.875
      10.680      101.800      262.484   399568.875
      10.782      155.600      262.484   399568.875
      10.883      112.900      262.484   399568.875
      10.992       94.700      262.484   399568.875
      11.099      157.200      262.484   399568.875
      11.209      103.000      262.484   399568.875
      11.317      121.600      262.484   399568.875
      11.420      140.500      262.500   399568.875
      11.525      104.400      263.688   399570.875
      11.633       78.700      263.734   399570.875
      11.734      146.500      263.891   399570.875
      11.845      137.100      264.062   399570.875
      11.949      120.500      264.141   399570.875
      12.049      124.500      264.297   399570.875
      12.157      129.100      264.375   399570.875
      12.268      100.000      264.562   399570.875
      12.376      111.300      264.766   399570.875
      12.482      157.000      264.766   399570.875
      12.583       94.600      264.766   399570.875
      12.693      148.700      264.766   399570.875
