# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000      236.547   401869.391
       0.105        0.100      236.547   401869.391
       0.210        0.000      236.547   401869.391
       0.316        0.100      236.547   401869.391
       0.419        0.100      236.547   401869.391
       0.524        0.600      236.547   401869.391
       0.630        0.100      236.547   401869.391
       0.733        0.100      236.547   401869.391
       0.835        0.000      236.547   401869.391
       0.941        0.200      236.547   401869.391
       1.045        0.100      236.547   401869.391
       1.151        0.100      236.547   401869.391
       1.255        3.800      236.562   401869.391
       1.361        0.000      236.562   401869.391
       1.466        0.100      236.562   401869.391
       1.572        0.800      236.562   401869.391
       1.675        0.100      236.562   401869.391
       1.780        0.000      236.562   401869.391
       1.886        0.100      236.562   401869.391
       1.991        0.100      236.562   401869.391
       2.097        0.000      236.562   401869.391
       2.198        0.100      236.562   401869.391
       2.303        0.100      236.562   401869.391
       2.407        0.100      236.562   401869.391
       2.513        0.800      236.547   401865.344
       2.618        0.000      236.547   401865.344
       2.723        0.100      236.547   401865.344
       2.829        0.100      236.547   401865.344
       2.934        0.100      236.547   401865.344
       3.040        0.100      236.547   401865.344
       3.146        0.100      236.547   401865.344
       3.251        0.000      236.547   401865.344
       3.357        0.100      236.547   401865.344
       3.463        0.100      236.547   401865.344
       3.568        0.500      236.547   401865.344
       3.674        0.100      236.547   401865.344
       3.780        0.000      236.547   401865.344
       3.885        0.100      236.547   401865.344
       3.990        0.200      236.547   401865.344
       4.095        0.000      236.547   401865.344
       4.201        0.100      236.547   401865.344
       4.306        0.100      236.547   401865.344
       4.409        0.100      236.547   401865.344
       4.514        0.500      236.547   401865.344
       4.620        0.100      236.547   401865.344
       4.725        0.000      236.547   401865.344
       4.831        0.100      236.547   401865.344
       4.933        0.100      236.547   401865.344
       5.037        0.100      236.547   401865.344
       5.142      200.200      269.375   401905.016
       5.247       27.400      269.875   401905.016
       5.352      105.800      270.875   401905.016
       5.453       36.000      271.469   401907.062
       5.558       20.100      271.703   401907.062
       5.664       25.000      271.906   401907.062
       5.765        9.700      271.938   401907.062
       5.870      406.400      285.953   402101.422
       5.974      360.000      289.625   402101.422
       6.074      322.800      292.125   402101.422
       6.184      322.200      294.000   402101.422
       6.286      381.300      299.109   402165.422
       6.391      315.100      304.703   402165.422
       6.496      327.400      306.000   402165.422
       6.601      259.500      308.516   402166.422
       6.703      250.500      312.969   402168.422
       6.809      202.100      312.984   402168.422
       6.913      257.200      313.469   402168.422
       7.016      214.900      313.609   402168.422
       7.121      201.800      313.938   402168.422
       7.227      196.900      314.031   402168.422
       7.332      194.000      315.078   402168.422
       7.444      226.000      315.141   402168.422
       7.547      195.400      315.188   402164.375
       7.650      193.700      314.297   402164.375
       7.754      207.300      313.406   402163.375
       7.860      225.000      313.453   402163.375
       7.964      189.800      314.766   402167.375
       8.067      181.500      319.188   402167.375
       8.171      182.800      319.250   402167.375
       8.276      177.400      319.328   402167.375
       8.380      241.500      319.406   402163.328
       8.485      147.600      319.453   402163.328
       8.588      170.400      319.516   402163.328
       8.691      166.000      319.594   402163.328
       8.796      221.900      319.641   402163.328
       8.900      179.700      319.719   402163.328
       9.005      188.900      319.750   402163.328
       9.111      130.100      319.781   402163.328
       9.224      186.300      319.859   402163.328
       9.329      173.200      319.953   402165.328
       9.434      147.600      320.000   402164.328
       9.535      144.200      318.047   402162.328
